Panagiotakis Remas
Thanos Christeas
Thalis Tassiades
Manoussos Kondakis
Stylianos Hadjitzis
Kyriakos Paulelis
Christodoulos Rossellis
Stergios Rodallis
Tilemachos Anastidis
Sergios Marides
Kalomira Artineli
Athina Xenide
Demi Koskeli
Zinovia Anasteli
Fryni Zareli
Tasoula Zappiadi
Irene Makra
Varvara Minidi
Koralia Rondalli
Zenovia Georga
Anargyros Valatos
Charalambos Pipakos
Apostolos Zervou
Savvas Gerou
Adonis Rubakis
Charalambos Stamou
Chirstoforos Managallis
Andreas Christidis
Aristeidis Alexoulis
Miltiadis Xenou
Evi Callelli
Varvara Lagiade
Erato Sotiroglou
Thekla Arvanitea
Florentia Rodinouli
Tatiana Zorballi
Corinna Galanoglou
Kassandra Stavriade
Hera Lagili
Lambrini Chondroti
